Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF,City
2034-02-28,100,-2939.471826599487,-3070.598398146013,-397171.84744679736,-573560.9327712171,-4062.509141665793,-4243.733159804899,NYC
2034-03-31,101,-2932.3337298726155,-3066.9069678161063,-400104.18117667,-576627.8397390333,-4065.911207269392,-4252.507579564553,NYC
2034-04-30,102,-2925.210919030106,-3063.206923987117,-403029.3920957001,-579691.0466630203,-4069.313272872992,-4261.281985597885,NYC
2034-05-31,103,-2918.1033703177186,-3059.498365248354,-405947.4954660178,-582750.5450282687,-4072.715338476591,-4270.056382147404,NYC
2034-06-30,104,-2911.0110599734785,-3055.781389325351,-408858.5065259913,-585806.326417594,-4076.11740408019,-4278.83077304656,NYC
2034-07-31,105,-2903.93396422798,-3052.0560930197958,-411762.4404902193,-588858.3825106139,-4079.519469683789,-4287.605161624744,NYC
2034-08-31,106,-2896.8720593046883,-3048.3225721806166,-414659.312549524,-591906.7050827944,-4082.921535287389,-4296.379550654442,NYC
2034-09-30,107,-2889.825321420239,-3044.5809217013416,-417549.13787094416,-594951.2860044958,-4086.323600890988,-4305.153942334578,NYC
2034-10-31,108,-2882.7937267847365,-3040.831235538559,-420431.9315977289,-597992.1172400343,-4089.725666494587,-4313.928338303591,NYC
2034-11-30,109,-2875.777251602047,-3037.073606746434,-423307.70884933096,-601029.1908467808,-4093.127732098186,-4322.702739675723,NYC
2034-12-31,110,-2868.7758720700963,-3033.30812752249,-426176.48472140107,-604062.4989743032,-4096.529797701785,-4331.4771470942105,NYC
2035-01-31,111,-2861.7895643811603,-3029.534889260336,-429038.27428578224,-607092.0338635636,-4099.9318633053845,-4340.251560795568,NYC
2035-02-28,112,-2854.8183047221546,-3025.753982605558,-431893.0925905044,-610117.7878461691,-4103.333928908984,-4349.025980679785,NYC
2035-03-31,113,-2847.862069274924,-3021.96549751165,-434740.9546597793,-613139.7533436808,-4106.735994512584,-4357.800406382025,NYC
2035-04-30,114,-2840.920834216527,-3018.1695232934685,-437581.8754939959,-616157.9228669743,-4110.138060116182,-4366.574837342235,NYC
2035-05-31,115,-2833.994575719526,-3014.3661486763417,-440415.87006971537,-619172.2890156505,-4113.540125719782,-4375.349272869852,NYC
