Date,Month,Cumulative_Buying,Cumulative_Renting,Cost_Difference,Buying_Monthly,Renting_Monthly,Is_BreakEven,BreakEven_Month,BreakEven_Date,City
2039-11-30,169,330952.54992285697,286740.3971061703,44212.15281668666,1800.1811804147048,2121.247042104608,False,256,2047-02-28,Buffalo
2039-12-31,170,332754.7900401044,288867.6603531156,43887.12968698883,1802.240117247474,2127.2632469452765,False,256,2047-02-28,Buffalo
2040-01-31,171,334559.0960621552,291000.9568678461,43558.13919430913,1804.3060220508596,2133.2965147305085,False,256,2047-02-28,Buffalo
2040-02-29,172,336365.4749805615,293140.3037616997,43225.17121886183,1806.3789184062616,2139.346893853616,False,256,2047-02-28,Buffalo
2040-03-31,173,338173.9338105364,295285.71819454484,42888.21561599156,1808.4588299748875,2145.4144328451616,False,256,2047-02-28,Buffalo
2040-04-30,174,339984.47959103435,297437.21737491817,42547.262216116185,1810.5457804980183,2151.49918037335,False,256,2047-02-28,Buffalo
2040-05-31,175,341797.11938483163,299594.81856016256,42202.30082466907,1812.6397937972824,2157.601185244416,False,256,2047-02-28,Buffalo
2040-06-30,176,343611.86027860653,301758.53905656555,41853.32122204098,1814.7408937749276,2163.720496403017,False,256,2047-02-28,Buffalo
2040-07-31,177,345428.70938302064,303928.3962194982,41500.313163522456,1816.849104414091,2169.8571629326243,False,256,2047-02-28,Buffalo
2040-08-31,178,347247.6738327998,306104.4074535541,41143.26637924567,1818.964449779076,2176.011234055921,False,256,2047-02-28,Buffalo
2040-09-30,179,349068.7607868153,308286.5902126893,40782.17057412601,1821.086954015627,2182.1827591351907,False,256,2047-02-28,Buffalo
2040-10-31,180,350891.97742816654,310474.96200036205,40417.015427804494,1823.2166413512011,2188.3717876727187,False,256,2047-02-28,Buffalo
2040-11-30,181,352717.3309642618,312669.5403696732,40047.79059458856,1825.3535360952496,2194.5783693111857,False,256,2047-02-28,Buffalo
2040-12-31,182,354544.82862690126,314870.34292350727,39674.48570339399,1827.4976626394923,2200.802553834068,False,256,2047-02-28,Buffalo
2041-01-31,183,356374.47767235944,317077.3873146733,39297.09035768616,1829.6490454581967,2207.044391166034,False,256,2047-02-28,Buffalo
2041-02-28,184,358206.2853814679,319290.6912460466,38915.59413542127,1831.8077091084572,2213.3039313733498,False,256,2047-02-28,Buffalo
2041-03-31,185,360040.2590596983,321510.2724707109,38529.986588987405,1833.9736782304776,2219.5812246642754,False,256,2047-02-28,Buffalo
2041-04-30,186,361876.4060372462,323736.1487921004,38140.257245145855,1836.146977547848,2225.8763213894704,False,256,2047-02-28,Buffalo
2041-05-31,187,363714.73366911407,325968.3380641428,37746.39560497127,1838.3276318678304,2232.1892720423966,False,256,2047-02-28,Buffalo
2041-06-30,188,365555.2493351957,328206.8581914025,37348.39114379312,1840.5156660816424,2238.5201272597246,False,256,2047-02-28,Buffalo
2041-07-31,189,367397.9604403604,330451.7271292242,36946.23331113614,1842.711105164737,2244.868937821738,False,256,2047-02-28,Buffalo
2041-08-31,190,369242.8744145375,332702.962883877,36539.91153066047,1844.9139741770928,2251.2357546527423,False,256,2047-02-28,Buffalo
2041-09-30,191,371089.998712801,334960.5835126985,36129.41520010255,1847.124298263498,2257.620628821472,False,256,2047-02-28,Buffalo
2041-10-31,192,372939.3408154549,337224.60712424,35714.733691214875,1849.3421026538356,2264.0236115415005,False,256,2047-02-28,Buffalo
2041-11-30,193,374790.9082281182,339495.0518784116,35295.85634970659,1851.5674126633728,2270.444754171653,False,256,2047-02-28,Buffalo
2041-12-31,194,376644.7084818112,341771.93598662806,34872.77249518316,1853.8002536930528,2276.884108216416,False,256,2047-02-28,Buffalo
2042-01-31,195,378500.749133041,344055.27771195443,34445.47142108658,1856.040651229779,2283.34172532635,False,256,2047-02-28,Buffalo
2042-02-28,196,380359.0377638878,346345.09536925296,34013.942394634825,1858.2886308467116,2289.817657298507,False,256,2047-02-28,Buffalo
2042-03-31,197,382219.5819820913,348641.4073253298,33578.17465676152,1860.5442182035545,2296.3119560768423,False,256,2047-02-28,Buffalo
2042-04-30,198,384082.3894211382,350944.23199908243,33138.15742205578,1862.807439046853,2302.8246737526333,False,256,2047-02-28,Buffalo
2042-05-31,199,385947.4677403484,353253.5878616473,32693.87987870112,1865.078319210284,2309.355862564897,False,256,2047-02-28,Buffalo
2042-06-30,200,387814.82462496345,355569.4934365481,32245.33118841535,1867.356884614952,2315.905574900809,False,256,2047-02-28,Buffalo
